City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,hobyo,5.3505,48.5268,25.14,81,77,12.71,SO,1691430550
241,magadan,59.5667,150.8,7.88,54,68,4.03,RU,1691430551
242,caleta de carquin,-11.0925,-77.6267,21.52,68,13,4.82,PE,1691430551
243,balfour,-26.6633,28.5902,10.12,20,0,0.28,ZA,1691430552
244,praia da vitoria,38.7333,-27.0667,25.42,83,20,2.56,PT,1691430552
245,lozuvatka,48.0571,33.2858,24.99,40,16,3.21,UA,1691430553
246,kogalym,62.2654,74.4791,18.2,57,43,2.34,RU,1691430553
247,nantucket,41.2835,-70.0995,26.03,68,100,4.63,US,1691430324
248,saveh,35.0213,50.3566,33.01,20,59,8.19,IR,1691430554
249,mitu,1.1983,-70.1733,28.92,74,56,0.88,CO,1691430555
250,prince george,53.9166,-122.753,20.69,60,75,2.06,CA,1691430556
251,tabou,4.423,-7.3528,25.23,88,93,4.69,CI,1691430556
252,cholpon-ata,42.6494,77.0823,17.03,69,100,1.9,KG,1691430556
253,brandon,27.9378,-82.2859,36.27,66,100,3.6,US,1691430541
254,vadso,70.0744,29.7487,21.49,72,0,3.6,NO,1691430558
255,jayapura,-2.5333,140.7,25.66,90,89,1.59,ID,1691430558
256,oranjemund,-28.55,16.4333,13.54,80,1,3.55,NA,1691430559
257,aioun,16.6614,-9.6149,38.24,24,7,6.07,MR,1691430559
258,queenstown,-31.8976,26.8753,15.25,30,0,3.06,ZA,1691430560
259,rabo de peixe,37.8,-25.5833,23.73,73,40,2.06,PT,1691430560
260,morden,49.1919,-98.1014,26.16,41,26,2.57,CA,1691430561
261,usinsk,65.9939,57.5281,14.74,68,99,6.76,RU,1691430561
262,shagonar,51.5333,92.8,16.21,92,100,2.11,RU,1691430562
263,non sang,16.8687,102.5664,24.38,85,100,0.74,TH,1691430562
264,chernyshevskiy,63.0128,112.4714,14.5,77,93,2.93,RU,1691430563
265,male,4.1748,73.5089,29.97,79,75,5.66,MV,1691430563
266,metropolis,37.1512,-88.732,28.01,72,100,4.12,US,1691430564
267,ho chi minh city,10.75,106.6667,28.01,94,20,5.66,VN,1691430564
268,sawakin,19.1059,37.3321,34.0,53,12,3.94,SD,1691430565
269,chetwayi,10.5333,76.05,25.87,87,92,3.22,IN,1691430565
270,tyukhtet,56.5389,89.3011,14.02,63,59,2.6,RU,1691430566
271,talcahuano,-36.7167,-73.1167,13.82,51,0,4.12,CL,1691430567
272,san patricio,28.017,-97.5169,37.4,35,1,7.38,US,1691430567
273,pisco,-13.7,-76.2167,21.03,68,100,3.09,PE,1691430568
274,merizo village,13.2658,144.6691,27.31,97,91,1.09,GU,1691430569
275,morehead city,34.7229,-76.726,33.01,77,0,6.17,US,1691430570
